source,caption,dish_id
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro-sushi.jpg,Dolorum neque quia voluptate.,2
https://food-photos-yelp.s3-us-west-1.amazonaws.com/Shrimp_sushi.jpg,Quia nemo nihil culpa.,3
https://food-photos-yelp.s3-us-west-1.amazonaws.com/images.jpeg,Cum in fuga dolor.,5
https://food-photos-yelp.s3-us-west-1.amazonaws.com/LXQjNbk.jpg,Et perspiciatis et rerum.,1
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro1.jpg,In accusamus sequi illo.,4
https://food-photos-yelp.s3-us-west-1.amazonaws.com/1472707651.jpg,Dolores consectetur doloremque doloribus.,9
https://food-photos-yelp.s3-us-west-1.amazonaws.com/10_JiroSushi_TooMuchFOMO_8162076064_7198734377_o_2.jpg,Qui et quod error.,5
https://food-photos-yelp.s3-us-west-1.amazonaws.com/sukiyabashi-jiro-roppongi.jpg,Consequatur debitis voluptatum repudiandae.,7
https://food-photos-yelp.s3-us-west-1.amazonaws.com/photo_04.jpg,Veniam molestiae sit vitae.,3
https://food-photos-yelp.s3-us-west-1.amazonaws.com/1472707651.jpg,Vero voluptatem ea deleniti.,9
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro-dreams-of-sushi-food-porn-thumb.0.jpg,Nesciunt sit error ullam.,3
https://food-photos-yelp.s3-us-west-1.amazonaws.com/Shrimp_sushi.jpg,Quod optio et expedita.,3
https://food-photos-yelp.s3-us-west-1.amazonaws.com/sukiyabashi-jiro-roppongi.jpg,Maxime sint qui voluptatum.,1
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro1.jpg,Et iusto saepe ipsam.,10
https://food-photos-yelp.s3-us-west-1.amazonaws.com/photo_04.jpg,Debitis ad aut sapiente.,1
https://food-photos-yelp.s3-us-west-1.amazonaws.com/tumblr_mazpatl0My1qzfo9go1_500.png,Consequatur vel quibusdam et.,4
https://food-photos-yelp.s3-us-west-1.amazonaws.com/10_JiroSushi_TooMuchFOMO_8162076064_7198734377_o_2.jpg,Dolorum quibusdam officiis est.,8
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro-dreams-of-sushi-food-porn-thumb.0.jpg,Velit aut et laborum.,6
https://food-photos-yelp.s3-us-west-1.amazonaws.com/8162045693_1ee8cf2069_z.jpg,Tempora odio rerum beatae.,7
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro1.jpg,Qui repellat aliquid ad.,10
https://food-photos-yelp.s3-us-west-1.amazonaws.com/1472707651.jpg,Maiores nam molestiae perspiciatis.,7
https://food-photos-yelp.s3-us-west-1.amazonaws.com/1472707651.jpg,Officia vitae maiores aperiam.,8
https://food-photos-yelp.s3-us-west-1.amazonaws.com/tumblr_mazpatl0My1qzfo9go1_500.png,Hic et illo ipsa.,8
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro-sushi.jpg,Est quis assumenda perferendis.,8
https://food-photos-yelp.s3-us-west-1.amazonaws.com/Shrimp_sushi.jpg,Vel quae laudantium qui.,2
https://food-photos-yelp.s3-us-west-1.amazonaws.com/b0c4069330976ec61902be1c7fc40e34.jpg,Totam et ea quos.,3
https://food-photos-yelp.s3-us-west-1.amazonaws.com/8162045693_1ee8cf2069_z.jpg,Tempora laborum doloribus eos.,2
https://food-photos-yelp.s3-us-west-1.amazonaws.com/tumblr_mazpatl0My1qzfo9go1_500.png,Hic voluptatum omnis dolor.,9
https://food-photos-yelp.s3-us-west-1.amazonaws.com/tumblr_mazpatl0My1qzfo9go1_500.png,Ipsam autem itaque rerum.,8
https://food-photos-yelp.s3-us-west-1.amazonaws.com/images.jpeg,Sint ut rerum dolorum.,7
https://food-photos-yelp.s3-us-west-1.amazonaws.com/sukiyabashi-jiro-roppongi.jpg,Qui voluptatem molestiae architecto.,2
https://food-photos-yelp.s3-us-west-1.amazonaws.com/1472707651.jpg,Nobis dolor accusantium ducimus.,4
https://food-photos-yelp.s3-us-west-1.amazonaws.com/sukiyabashi-jiro-roppongi.jpg,Sit qui eum fugiat.,1
https://food-photos-yelp.s3-us-west-1.amazonaws.com/tuna.jpg,Vitae tempore neque dolor.,9
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro-sushi.jpg,Nobis autem aperiam quia.,4
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro-sushi.jpg,Maiores nesciunt asperiores enim.,3
https://food-photos-yelp.s3-us-west-1.amazonaws.com/images.jpeg,Aut id minus qui.,2
https://food-photos-yelp.s3-us-west-1.amazonaws.com/jiro-dreams-of-sushi-food-porn-thumb.0.jpg,Libero quia quis quaerat.,6
